id,city,location,picture_url,listing_url,room_type,accommodates,price,beds,review_scores_rating,number_of_reviews,latitude,longitude
26417491,San Diego,San Diego,https://a0.muscache.com/pictures/bc0d688c-98ba-4bce-9d5d-958d3c83b0cc.jpg,https://www.airbnb.com/rooms/26417491,Entire home/apt,5,183.0,4.0,4.34,53,32.76179886,-117.2519989
26472735,San Diego,San Diego,https://a0.muscache.com/pictures/4a0c920f-ad99-4330-8ceb-3520211b8e23.jpg,https://www.airbnb.com/rooms/26472735,Entire home/apt,6,168.0,4.0,4.81,393,32.69769,-117.14185
25782664,San Diego,San Diego,https://a0.muscache.com/pictures/53bc9b39-585d-4470-82f1-c3ad82fcb75a.jpg,https://www.airbnb.com/rooms/25782664,Entire home/apt,5,127.0,4.0,4.77,198,32.71273,-117.15946
26037922,San Diego,San Diego,https://a0.muscache.com/pictures/bf2e1141-32a5-4c71-97dc-90c42c4cc99d.jpg,https://www.airbnb.com/rooms/26037922,Entire home/apt,6,282.0,5.0,4.88,278,32.74407,-117.13821
26899304,San Diego,San Diego,https://a0.muscache.com/pictures/5b924f49-5857-4ba6-ba6a-5c5c7a15c4b0.jpg,https://www.airbnb.com/rooms/26899304,Entire home/apt,5,190.0,4.0,4.86,299,32.74767,-117.25154
28015777,San Diego,San Diego,https://a0.muscache.com/pictures/158176b2-f130-44bd-b085-f9e15c92e581.jpg,https://www.airbnb.com/rooms/28015777,Entire home/apt,6,182.0,4.0,4.66,198,32.80149,-117.25778
28349156,San Diego,San Diego,https://a0.muscache.com/pictures/b1ec4387-8ced-4e7f-9fe8-8e4a9c11cafa.jpg,https://www.airbnb.com/rooms/28349156,Entire home/apt,6,136.0,5.0,4.72,162,32.71212,-117.15928
28980926,San Diego,San Diego,https://a0.muscache.com/pictures/31c24755-9730-4c76-9488-5f3185d636a1.jpg,https://www.airbnb.com/rooms/28980926,Entire home/apt,6,213.0,6.0,4.69,140,32.77133,-117.19784
30046184,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-30046184/original/167a0210-8c50-46ca-8330-87e3b184b4a9.png,https://www.airbnb.com/rooms/30046184,Entire home/apt,6,134.0,5.0,4.96,175,32.73849117541302,-117.1767920310704
29436201,San Diego,San Diego,https://a0.muscache.com/pictures/be2de910-b782-4ac7-9f08-7130c48856df.jpg,https://www.airbnb.com/rooms/29436201,Entire home/apt,6,158.0,4.0,4.8,176,32.74367,-117.18428
30915269,San Diego,San Diego,https://a0.muscache.com/pictures/airflow/Hosting-30915269/original/b0be4e3f-de23-49ed-92c2-b99b2ccf5cfd.jpg,https://www.airbnb.com/rooms/30915269,Entire home/apt,5,183.0,4.0,4.92,52,32.74582,-117.1799
31449533,San Diego,San Diego,https://a0.muscache.com/pictures/282541fd-d768-42e2-a70c-7cc94a485887.jpg,https://www.airbnb.com/rooms/31449533,Entire home/apt,5,145.0,4.0,4.66,210,32.789981842041016,-117.25415802001952
32182828,San Diego,San Diego,https://a0.muscache.com/pictures/ae173589-db3b-4da7-9ef8-2db1b2fbd872.jpg,https://www.airbnb.com/rooms/32182828,Entire home/apt,5,128.0,4.0,4.71,167,32.71425,-117.16009
31677881,San Diego,San Diego,https://a0.muscache.com/pictures/a74249ff-179d-471c-a815-e63f8d16c20d.jpg,https://www.airbnb.com/rooms/31677881,Entire home/apt,6,256.0,5.0,4.86,181,32.71724,-117.15701
32335194,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-32335194/original/51622918-b36b-4b01-86ce-5f060bf34743.jpeg,https://www.airbnb.com/rooms/32335194,Entire home/apt,6,152.0,4.0,4.95,143,32.76364,-117.25283
31949955,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-31949955/original/431b62bc-8afb-4fce-bf8a-438c5e8492f2.jpeg,https://www.airbnb.com/rooms/31949955,Entire home/apt,5,154.0,4.0,4.81,108,32.74882,-117.12238
32500147,San Diego,San Diego,https://a0.muscache.com/pictures/pro_photo_tool/Hosting-32500147-unapproved/original/d45e1e5d-4d1d-4574-aede-54a8946507e3.JPEG,https://www.airbnb.com/rooms/32500147,Entire home/apt,6,126.0,4.0,4.83,225,32.75924,-117.11872
32939357,San Diego,San Diego,https://a0.muscache.com/pictures/a7067443-7716-4f04-83bf-b0b7ba1b0a24.jpg,https://www.airbnb.com/rooms/32939357,Entire home/apt,6,207.0,4.0,4.86,104,32.67622,-117.05288
33812805,San Diego,San Diego,https://a0.muscache.com/pictures/bda14f17-618a-4b53-bfbe-9d0debaa0fbb.jpg,https://www.airbnb.com/rooms/33812805,Entire home/apt,6,169.0,5.0,4.87,110,32.74443,-117.13705
34323119,San Diego,San Diego,https://a0.muscache.com/pictures/77328bc8-4518-49cd-9102-adfcef396f2c.jpg,https://www.airbnb.com/rooms/34323119,Entire home/apt,6,195.0,6.0,4.62,66,32.71138,-117.15934
34334799,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-34334799/original/fb45cf53-a50d-42f5-b8f0-32b31a82a667.jpeg,https://www.airbnb.com/rooms/34334799,Entire home/apt,6,464.0,4.0,4.94,81,32.78136,-117.25301
34369012,San Diego,San Diego,https://a0.muscache.com/pictures/12e35379-0c66-4525-914c-40729dbd67d1.jpg,https://www.airbnb.com/rooms/34369012,Entire home/apt,6,210.0,4.0,4.91,69,32.80933,-117.25449
33968080,San Diego,San Diego,https://a0.muscache.com/pictures/b3d303a5-8f36-497f-8abd-a0c0208c7b8c.jpg,https://www.airbnb.com/rooms/33968080,Entire home/apt,6,247.0,4.0,4.81,186,32.80381,-117.25527
34018152,San Diego,San Diego,https://a0.muscache.com/pictures/10ee51ba-cfc5-4f03-97af-c5483e58b697.jpg,https://www.airbnb.com/rooms/34018152,Entire home/apt,6,145.0,4.0,4.71,126,32.80304,-117.22976
34067887,San Diego,San Diego,https://a0.muscache.com/pictures/prohost-api/Hosting-34067887/original/c3b29b45-d239-44ec-89d7-44bf8aa78e95.jpeg,https://www.airbnb.com/rooms/34067887,Private room,6,189.0,4.0,4.74,81,32.71182,-117.16209
35262275,San Diego,San Diego,https://a0.muscache.com/pictures/551e7c95-e7ba-4608-9006-09658634df5b.jpg,https://www.airbnb.com/rooms/35262275,Entire home/apt,6,349.0,4.0,4.99,94,32.81958,-117.21475
36032056,San Diego,San Diego,https://a0.muscache.com/pictures/prohost-api/Hosting-36032056/original/4e2b3e45-8638-4244-807e-64011799b83f.jpeg,https://www.airbnb.com/rooms/36032056,Entire home/apt,6,152.0,5.0,4.84,198,32.78232,-117.25158
35379813,San Diego,San Diego,https://a0.muscache.com/pictures/5220ae01-e100-4994-8bc7-404b4f6e8526.jpg,https://www.airbnb.com/rooms/35379813,Entire home/apt,6,484.0,4.0,4.94,98,32.81181,-117.25774
36082466,San Diego,San Diego,https://a0.muscache.com/pictures/d062a1f9-2579-4e17-bc56-42953aaacc8d.jpg,https://www.airbnb.com/rooms/36082466,Entire home/apt,6,226.0,4.0,4.95,144,32.73968,-117.11745
35515060,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-35515060/original/b930b0bc-1fe1-4254-8070-c6e0feb875fe.jpeg,https://www.airbnb.com/rooms/35515060,Entire home/apt,6,177.0,4.0,4.93,113,32.79881,-117.23184
35515282,San Diego,San Diego,https://a0.muscache.com/pictures/8cec11e1-c926-421a-b285-234dbb987dba.jpg,https://www.airbnb.com/rooms/35515282,Entire home/apt,6,161.0,4.0,4.86,111,32.79738,-117.23314
35578022,San Diego,San Diego,https://a0.muscache.com/pictures/4efce608-3653-49b0-96af-cfcb688afcb6.jpg,https://www.airbnb.com/rooms/35578022,Entire home/apt,6,250.0,4.0,4.8,168,32.73989,-117.2341
36311717,San Diego,San Diego,https://a0.muscache.com/pictures/6bcce565-836b-46ba-8c4e-53c2af2fdc7c.jpg,https://www.airbnb.com/rooms/36311717,Entire home/apt,5,426.0,5.0,4.96,116,32.70739,-117.14216
36352550,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-36352550/original/849e7bdb-1c68-4770-afd6-f04567067c19.jpeg,https://www.airbnb.com/rooms/36352550,Entire home/apt,6,365.0,7.0,4.98,86,32.70351,-117.13776
